Countries,Type,Amount 
Burundi,Balance2020,-4147
Turkmenistan,Balance2020,-4145
Bermuda,Balance2018,-4130
Bermuda,Balance2019,-4099
Bermuda,Balance2016,-4068
Lesotho,Balance2016,-4029
Barbados,Balance2020,-3994
Syria,Balance2019,-3976
Afghanistan,Balance2020,-3938
Barbados,Balance2019,-3891
Bermuda,Balance2017,-3852
Somalia,Balance2017,-3831
Burundi,Balance2018,-3831
Benin,Balance2019,-3757
Benin,Balance2020,-3753
Fiji,Balance2016,-3733
Malawi,Balance2019,-3660
Malawi,Balance2017,-3653
Syria,Balance2016,-3634
Kyrgyzstan,Balance2019,-3550
Demo. Rep. Korea,Balance2016,-3542
Fiji,Balance2019,-3537
Jamaica,Balance2020,-3504
Djibouti,Balance2020,-3483
Syria,Balance2017,-3477
Benin,Balance2017,-3475
Benin,Balance2016,-3463
Bermuda,Balance2020,-3425
Demo. Rep. Korea,Balance2019,-3421
Afghanistan,Balance2018,-3412
Lao PDR,Balance2019,-3409
Lao PDR,Balance2016,-3404
Slovenia,Balance2020,-3360
Demo. Rep. Korea,Balance2018,-3323
Benin,Balance2018,-3283
Afghanistan,Balance2017,-3197
Malawi,Balance2020,-3182
Somalia,Balance2016,-3156
Burundi,Balance2019,-3152
Guyana,Balance2016,-3116
Fiji,Balance2017,-3101
Gibraltar,Balance2020,-3092
Faroe Islands,Balance2020,-3088
Guyana,Balance2019,-3073
Republic of Congo,Balance2016,-3064
Barbados,Balance2017,-3022
Mozambique,Balance2019,-3015
Liberia,Balance2018,-2998
Tonga,Balance2016,-2880
Gabon,Balance2020,-2880
Republic of Congo,Balance2017,-2864
Guyana,Balance2018,-2818
Mozambique,Balance2018,-2808
Saint Lucia,Balance2016,-2780
Zimbabwe,Balance2019,-2765
Republic of Congo,Balance2019,-2762
Burkina Faso,Balance2018,-2746
Sri Lanka,Balance2020,-2732
Madagascar,Balance2017,-2722
French Polynesia,Balance2016,-2711
Madagascar,Balance2018,-2691
